simp_plot,sample_year,reservation_code,reservation,longitude,latitude,community,sensitive,tolerant,macro_depressions_count_mean,cwd_2to12cm_mean,cwd_12to40cm_mean,cwd_greater_than_40cm_mean,tot_carbon,tot_nitrogen,c_n_ratio,ph,slope,aspect,topographic_wetness_index,average_percent_open
1002,2015,HI,Hinckley,-81.7242,41.20647,Sugar Maple - Mixed Hardwood Forest,0.000313725,0.766065359,0,19.25,1,0,2.35,0.15,15.7,5.6,3.31,289.21,7.41195,2.795
1003,2015,MS,Mill Stream Run,-81.83675,41.34767,Beech - Mixed Hardwood (Hemlock) Forest,0.051747162,0.042844425,2.25,21,0,0,3.02,0.18,17.2,4.6,1.05,220.85,13.66944,2.275
1004,2015,BE,Bedford,-81.55633,41.38163,Ruderal Wet-Mesic Shrubland and Thicket,0.009159187,0.260426207,0,12.33333333,10,0.333333333,3.47,0.18,19.4,5.7,21.68,152.79,10.67231,17.59333333
1005,2015,HI,Hinckley,-81.68763,41.25647,Sugar Maple - Mixed Hardwood Forest,0.088512041,0.196852905,1.75,17.25,0.75,0,3.76,0.22,17.2,6.2,3.72,280.79,10.72277,2.925
1006,2015,BW,Bradley Woods,-81.9591,41.40871,Wet-Mesic Red Maple,0.046004015,0.068771091,2.25,19.75,0.5,0.25,5.75,0.29,20.1,4.4,0.26,320.27,14.59921,4.225
1008,2015,WC,West Creek,-81.69285,41.36983,Oak - Mixed Hardwood,0.051750906,0.286182508,1.625,18,1,0,3.82,0.22,17.4,4.7,1.17,311.58,12.45288,0.585
1009,2015,HI,Hinckley,-81.70868,41.22135,Bottomland Forest,0.00384946,0.643860752,0.25,14.25,4,0.25,2.38,0.16,15.3,7.1,0.91,356.92,7.84979,9.1
1010,2015,RR,Rocky River,-81.898,41.40334,Sugar Maple - Mixed Hardwood Forest,0.004545365,0.204365118,0.25,23.5,1,0,3.66,0.22,16.7,4.5,1.08,210.87,14.11413,6.305
1011,2015,BE,Bedford,-81.50523,41.37318,Ruderal Wet-Mesic Shrubland and Thicket,0.005793631,0.831443966,0.25,7.25,11,0,3.61,0.21,17.2,5.3,7.79,244.19,8.26775,81.835
1012,2015,NC,North Chagrin,-81.42216,41.56544,Sugar Maple - Mixed Hardwood Forest,0.051050906,0.088796761,1.25,16.25,1.5,0,5.84,0.34,17.2,4.4,3.98,77.59,11.05259,2.86
1013,2015,BR,Brecksville,-81.6903,41.30081,Beech - Mixed Hardwood (Hemlock) Forest,0.040688784,0.329698823,0.5,22.5,4,0,3.32,0.17,19.3,5.1,3.67,270.46,10.64705,2.86
