simp_plot,cycle,group_id,species,dbh_class_index,basal_cm2_ha,basal_ft2_ac
1002,1,1002_1st,Vitis aestivalis,1,3.926,0.0015704
1002,1,1002_1st,Acer saccharum,8,5940,2.376
1002,1,1002_1st,Acer rubrum,4,441.8,0.17672
1002,1,1002_1st,Fraxinus pennsylvanica,4,883.6,0.35344
1002,1,1002_1st,Standing dead,1,37.297,0.0149188
1002,1,1002_1st,Crataegus sp.,2,48.1,0.01924
1002,1,1002_1st,Acer saccharum,3,8500.8,3.40032
1002,1,1002_1st,Prunus serotina,1,1.963,0.0007852
1002,1,1002_1st,Fraxinus pennsylvanica,1,5.889,0.0023556
1002,1,1002_1st,Carya ovata,5,2454,0.9816
1002,1,1002_1st,Standing dead,3,2208,0.8832
1002,1,1002_1st,Fraxinus pennsylvanica,9,8300,3.32
1002,1,1002_1st,Ulmus americana,2,192.4,0.07696
1002,1,1002_1st,Standing dead,5,1227,0.4908
1002,1,1002_1st,Ulmus americana,1,7.852,0.0031408
1002,1,1002_1st,Acer saccharum,5,25767,10.3068
1002,1,1002_1st,Carya ovata,8,5940,2.376
1002,1,1002_1st,Standing dead,4,4418,1.7672
1002,1,1002_1st,Standing dead,2,456.95,0.18278
1002,1,1002_1st,Acer saccharum,6,16835,6.734
1002,1,1002_1st,Amelanchier arborea,2,24.05,0.00962
1002,1,1002_1st,Ulmus americana,3,772.8,0.30912
1002,1,1002_1st,Crataegus sp.,4,441.8,0.17672
1002,1,1002_1st,Ulmus americana,5,7362,2.9448
1002,1,1002_1st,Acer saccharum,4,26508,10.6032
1002,1,1002_1st,Acer saccharum,1,170.781,0.0683124
1002,1,1002_1st,Carya ovata,1,5.889,0.0023556
1002,1,1002_1st,Quercus muehlenbergii,9,8300,3.32
1002,1,1002_1st,Carya ovata,3,772.8,0.30912
1002,1,1002_1st,Amelanchier arborea,3,110.4,0.04416
1002,1,1002_1st,Carya cordiformis,5,1227,0.4908
1002,1,1002_1st,Vitis aestivalis,3,993.6,0.39744
1002,1,1002_1st,Fraxinus pennsylvanica,7,3976,1.5904
1002,1,1002_1st,Carya ovata,6,2405,0.962
1002,1,1002_1st,Carya cordiformis,1,1.963,0.0007852
1002,1,1002_1st,Acer saccharum,2,2284.75,0.9139
1002,1,1002_1st,Ulmus americana,6,12025,4.81
1002,1,1002_1st,Carya ovata,7,11928,4.7712
1002,1,1002_1st,Fagus grandifolia,7,3976,1.5904
1002,1,1002_1st,Fraxinus pennsylvanica,5,1227,0.4908
1002,1,1002_1st,Carya ovata,2,72.15,0.02886
1002,1,1002_1st,Ulmus americana,4,7510.6,3.00424
1002,1,1002_1st,Carya ovata,4,1767.2,0.70688
1002,1,1002_1st,Fraxinus sp.,6,2405,0.962
1002,1,1002_1st,Fraxinus pennsylvanica,6,2405,0.962
1002,1,1002_1st,Toxicodendron radicans,1,1.963,0.0007852
1002,1,1002_1st,Vitis aestivalis,2,168.35,0.06734
1002,2,1002_2nd,Fagus grandifolia,8,5940,2.376
1002,2,1002_2nd,Carya ovata,7,7952,3.1808
1002,2,1002_2nd,Quercus muehlenbergii,10,11040,4.416
1002,2,1002_2nd,Standing dead,4,3092.6,1.23704
1002,2,1002_2nd,Ulmus rubra,5,3681,1.4724
1002,2,1002_2nd,Ulmus americana,4,3534.4,1.41376
1002,2,1002_2nd,Rosa multiflora,0,11.778,0.0047112
1002,2,1002_2nd,Acer saccharum,5,28221,11.2884
1002,2,1002_2nd,Vitis aestivalis,2,72.15,0.02886
1002,2,1002_2nd,Acer rubrum,4,441.8,0.17672
1002,2,1002_2nd,Ulmus rubra,4,441.8,0.17672
1002,2,1002_2nd,Acer saccharum,1,47.112,0.0188448
1002,2,1002_2nd,Standing dead,3,1214.4,0.48576
1002,2,1002_2nd,Acer saccharum,3,7617.6,3.04704
1002,2,1002_2nd,Quercus sp.,1,1.963,0.0007852
1002,2,1002_2nd,Liriodendron tulipifera,1,1.963,0.0007852
1002,2,1002_2nd,Vitis aestivalis,3,441.6,0.17664
1002,2,1002_2nd,Carya ovata,8,11880,4.752
1002,2,1002_2nd,Acer saccharum,7,3976,1.5904
1002,2,1002_2nd,Carya cordiformis,1,1.963,0.0007852
1002,2,1002_2nd,Ulmus rubra,6,4810,1.924
1002,2,1002_2nd,Acer saccharum,4,22090,8.836
1002,2,1002_2nd,Carya ovata,3,772.8,0.30912
1002,2,1002_2nd,Carya ovata,5,2454,0.9816
1002,2,1002_2nd,Toxicodendron radicans,1,1.963,0.0007852
1002,2,1002_2nd,Standing dead,1,45.149,0.0180596
1002,2,1002_2nd,Fraxinus pennsylvanica,6,2405,0.962
1002,2,1002_2nd,Standing dead,9,8300,3.32
1002,2,1002_2nd,Fraxinus pennsylvanica,7,3976,1.5904
1002,2,1002_2nd,Lonicera morrowii,1,1.963,0.0007852
1002,2,1002_2nd,Carya ovata,6,2405,0.962
1002,2,1002_2nd,Fraxinus pennsylvanica,1,1.963,0.0007852
1002,2,1002_2nd,Acer saccharum,6,21645,8.658
1002,2,1002_2nd,Standing dead,5,3681,1.4724
1002,2,1002_2nd,Rubus sp.,0,1.963,0.0007852
1002,2,1002_2nd,Crataegus sp.,3,110.4,0.04416
1002,2,1002_2nd,Amelanchier sp.,2,24.05,0.00962
1002,2,1002_2nd,Acer saccharum,8,5940,2.376
1002,2,1002_2nd,Acer saccharum,2,1972.1,0.78884
1002,2,1002_2nd,Standing dead,6,4810,1.924
1002,2,1002_2nd,Vitis aestivalis,1,1.963,0.0007852
1002,2,1002_2nd,Carya cordiformis,5,1227,0.4908
1002,2,1002_2nd,Carya ovata,2,48.1,0.01924
1002,2,1002_2nd,Fraxinus pennsylvanica,4,883.6,0.35344
1002,2,1002_2nd,Ulmus americana,3,883.2,0.35328
1002,2,1002_2nd,Ulmus americana,2,72.15,0.02886
1002,2,1002_2nd,Ulmus americana,1,1.963,0.0007852
1002,2,1002_2nd,Ulmus americana,6,4810,1.924
1002,2,1002_2nd,Ulmus americana,5,4908,1.9632
1002,2,1002_2nd,Carya ovata,4,1325.4,0.53016
1002,2,1002_2nd,Parthenocissus quinquefolia,1,7.852,0.0031408
1002,2,1002_2nd,Standing dead,2,408.85,0.16354
1002,3,carya_cordiformis_1002_3,Carya cordiformis,6,2405,0.962
1002,3,carya_ovata_1002_3,Carya ovata,3,441.6,0.17664
1002,3,standing_dead_1002_3,Standing dead,9,8300,3.32
1002,3,carya_cordiformis_1002_3,Carya cordiformis,1,1.963,0.0007852
1002,3,carya_ovata_1002_3,Carya ovata,8,17820,7.128
1002,3,standing_dead_1002_3,Standing dead,3,1214.4,0.48576
1002,3,carya_ovata_1002_3,Carya ovata,5,2454,0.9816
1002,3,amelanchier_sp.1_1002_3,Amelanchier sp.,2,24.05,0.00962
1002,3,liriodendron_tulipifera_1002_3,Liriodendron tulipifera,1,1.963,0.0007852
1002,3,standing_dead_1002_3,Standing dead,7,3976,1.5904
1002,3,ulmus_americana_1002_3,Ulmus americana,4,1767.2,0.70688
1002,3,toxicodendron_radicans_1002_3,Toxicodendron radicans,1,27.482,0.0109928
1002,3,rosa_multiflora_1002_3,Rosa multiflora,0,21.593,0.0086372
1002,3,quercus_muehlenbergii_1002_3,Quercus muehlenbergii,11,12818.95466,5.127581865
1002,3,fagus_grandifolia_1002_3,Fagus grandifolia,9,8300,3.32
1002,3,acer_saccharum_1002_3,Acer saccharum,4,21206.4,8.48256
1002,3,fraxinus_pennsylvanica_1002_3,Fraxinus pennsylvanica,1,35.334,0.0141336
1002,3,prunus_serotina_1002_3,Prunus serotina,1,3.926,0.0015704
1002,3,acer_saccharum_1002_3,Acer saccharum,2,1034.15,0.41366
1002,3,vitis_aestivalis_1002_3,Vitis aestivalis,1,1.963,0.0007852
1002,3,ulmus_rubra_1002_3,Ulmus rubra,6,7215,2.886
1002,3,carya_ovata_1002_3,Carya ovata,4,1767.2,0.70688
1002,3,ulmus_americana_1002_3,Ulmus americana,6,4810,1.924
1002,3,frangula_alnus_1002_3,Frangula alnus,2,48.1,0.01924
1002,3,parthenocissus_quinquefolia_1002_3,Parthenocissus quinquefolia,1,21.593,0.0086372
1002,3,standing_dead_1002_3,Standing dead,0,3.926,0.0015704
1002,3,acer_saccharum_1002_3,Acer saccharum,5,23313,9.3252
1002,3,carya_ovata_1002_3,Carya ovata,2,72.15,0.02886
1002,3,fraxinus_pennsylvanica_1002_3,Fraxinus pennsylvanica,2,48.1,0.01924
1002,3,acer_rubrum_1002_3,Acer rubrum,4,441.8,0.17672
1002,3,ulmus_americana_1002_3,Ulmus americana,7,3976,1.5904
1002,3,acer_saccharum_1002_3,Acer saccharum,1,33.371,0.0133484
1002,3,ulmus_americana_1002_3,Ulmus americana,3,772.8,0.30912
1002,3,quercus_muehlenbergii_1002_3,Quercus muehlenbergii,1,1.963,0.0007852
1002,3,standing_dead_1002_3,Standing dead,5,4908,1.9632
1002,3,acer_saccharum_1002_3,Acer saccharum,3,6734.4,2.69376
1002,3,rubus_pensilvanicus_1002_3,Rubus pensilvanicus,0,1.963,0.0007852
1002,3,standing_dead_1002_3,Standing dead,4,6185.2,2.47408
1002,3,fagus_grandifolia_1002_3,Fagus grandifolia,1,1.963,0.0007852
1002,3,vitis_aestivalis_1002_3,Vitis aestivalis,4,883.6,0.35344
1002,3,carya_ovata_1002_3,Carya ovata,6,2405,0.962
1002,3,standing_dead_1002_3,Standing dead,2,577.2,0.23088
1002,3,lonicera_japonica_1002_3,Lonicera japonica,1,3.926,0.0015704
1002,3,acer_nigrum_1002_3,Acer nigrum,4,883.6,0.35344
1002,3,frangula_alnus_1002_3,Frangula alnus,1,11.778,0.0047112
1002,3,lindera_benzoin_1002_3,Lindera benzoin,0,9.815,0.003926
1002,3,carya_ovata_1002_3,Carya ovata,9,8300,3.32
1002,3,standing_dead_1002_3,Standing dead,1,19.63,0.007852
1002,3,acer_nigrum_1002_3,Acer nigrum,3,331.2,0.13248
1002,3,vitis_aestivalis_1002_3,Vitis aestivalis,3,552,0.2208
1002,3,quercus_alba_1002_3,Quercus alba,2,24.05,0.00962
1002,3,vitis_aestivalis_1002_3,Vitis aestivalis,2,72.15,0.02886
1002,3,ulmus_americana_1002_3,Ulmus americana,2,48.1,0.01924
1002,3,ulmus_americana_1002_3,Ulmus americana,5,6135,2.454
1002,3,pyrus_sp.1_1002_3,Pyrus sp.,1,1.963,0.0007852
1002,3,toxicodendron_radicans_1002_3,Toxicodendron radicans,2,24.05,0.00962
1002,3,carya_ovata_1002_3,Carya ovata,1,3.926,0.0015704
1002,3,acer_saccharum_1002_3,Acer saccharum,6,33670,13.468
1002,3,acer_saccharum_1002_3,Acer saccharum,8,5940,2.376
1002,3,quercus_rubra_1002_3,Quercus rubra,1,1.963,0.0007852
1002,3,acer_saccharum_1002_3,Acer saccharum,7,7952,3.1808
1002,3,lonicera_morrowii_1002_3,Lonicera morrowii,0,1.963,0.0007852
1002,3,ulmus_rubra_1002_3,Ulmus rubra,2,24.05,0.00962
1002,3,crataegus_sp.1_1002_3,Crataegus sp.,3,110.4,0.04416
1002,3,standing_dead_1002_3,Standing dead,6,2405,0.962
1002,3,liriodendron_tulipifera_1002_3,Liriodendron tulipifera,2,48.1,0.01924
1003,1,1003_1st,Acer saccharum,3,441.6,0.17664
1003,1,1003_1st,Acer rubrum,4,2209,0.8836
1003,1,1003_1st,Fagus grandifolia,1,43.186,0.0172744
1003,1,1003_1st,Acer saccharum,1,3.926,0.0015704
1003,1,1003_1st,Standing dead,7,3976,1.5904
1003,1,1003_1st,Ulmus americana,11,25338.82971,10.13553188
1003,1,1003_1st,Standing dead,1,11.778,0.0047112
1003,1,1003_1st,Acer rubrum,11,25428.12948,10.17125179
1003,1,1003_1st,Fagus grandifolia,2,1899.95,0.75998
1003,1,1003_1st,Acer saccharum,4,441.8,0.17672
1003,1,1003_1st,Fagus grandifolia,4,16788.4,6.71536
1003,1,1003_1st,Fagus grandifolia,10,11040,4.416
1003,1,1003_1st,Carya cordiformis,2,24.05,0.00962
1003,1,1003_1st,Acer rubrum,5,2454,0.9816
1003,1,1003_1st,Fraxinus americana,4,441.8,0.17672
1003,1,1003_1st,Prunus serotina,3,110.4,0.04416
1003,1,1003_1st,Acer rubrum,3,331.2,0.13248
1003,1,1003_1st,Fagus grandifolia,7,3976,1.5904
1003,1,1003_1st,Acer saccharum,2,216.45,0.08658
1003,1,1003_1st,Prunus serotina,4,441.8,0.17672
1003,1,1003_1st,Tilia americana,4,441.8,0.17672
1003,1,1003_1st,Vitis aestivalis,2,24.05,0.00962
1003,1,1003_1st,Fagus grandifolia,3,5630.4,2.25216
1003,1,1003_1st,Standing dead,11,20428.20623,8.171282492
1003,1,1003_1st,Fraxinus americana,10,11040,4.416
1003,1,1003_1st,Fraxinus pennsylvanica,11,35678.75361,14.27150144
1003,1,1003_1st,Standing dead,8,5940,2.376
1003,1,1003_1st,Fagus grandifolia,5,6135,2.454
1003,1,1003_1st,Fagus grandifolia,6,2405,0.962
1003,1,1003_1st,Acer rubrum,2,96.2,0.03848
1003,1,1003_1st,Standing dead,2,432.9,0.17316
1003,1,1003_1st,Fagus grandifolia,12,101778.2557,40.7113023
1003,1,1003_1st,Cornus florida,4,441.8,0.17672
1003,1,1003_1st,Acer rubrum,6,2405,0.962
1003,1,1003_1st,Standing dead,4,2650.8,1.06032
1003,1,1003_1st,Fagus grandifolia,11,165088.2592,66.03530368
1003,1,1003_1st,Ostrya virginiana,4,441.8,0.17672
1003,1,1003_1st,Acer saccharum,5,1227,0.4908
1003,1,1003_1st,Acer rubrum,7,3976,1.5904
1003,1,1003_1st,Standing dead,3,1435.2,0.57408
1003,1,1003_1st,Quercus rubra,3,110.4,0.04416
1003,2,1003_2nd,Cornus florida,4,441.8,0.17672
1003,2,1003_2nd,Tilia americana,4,441.8,0.17672
1003,2,1003_2nd,Fagus grandifolia,2,1010.1,0.40404
1003,2,1003_2nd,Fagus grandifolia,3,4968,1.9872
1003,2,1003_2nd,Fagus grandifolia,12,119596.3483,47.8385393
1003,2,1003_2nd,Acer saccharum,3,772.8,0.30912
1003,2,1003_2nd,Acer rubrum,2,48.1,0.01924
1003,2,1003_2nd,Acer saccharum,1,3.926,0.0015704
1003,2,1003_2nd,Acer rubrum,11,27339.71007,10.93588403
1003,2,1003_2nd,Fraxinus pennsylvanica,11,36960.52341,14.78420936
1003,2,1003_2nd,Standing dead,2,288.6,0.11544
1003,2,1003_2nd,Fagus grandifolia,10,11040,4.416
1003,2,1003_2nd,Fagus grandifolia,1,21.593,0.0086372
1003,2,1003_2nd,Standing dead,3,1104,0.4416
1003,2,1003_2nd,Acer saccharum,2,240.5,0.0962
1003,2,1003_2nd,Standing dead,10,11040,4.416
1003,2,1003_2nd,Fagus grandifolia,7,7952,3.1808
1003,2,1003_2nd,Standing dead,4,1767.2,0.70688
1003,2,1003_2nd,Acer rubrum,3,441.6,0.17664
1003,2,1003_2nd,Fagus grandifolia,5,3681,1.4724
1003,2,1003_2nd,Fagus grandifolia,4,16788.4,6.71536
1003,2,1003_2nd,Fagus grandifolia,6,4810,1.924
1003,2,1003_2nd,Acer rubrum,6,4810,1.924
1003,2,1003_2nd,Fagus grandifolia,11,162617.9464,65.04717855
1003,2,1003_2nd,Standing dead,1,3.926,0.0015704
1003,2,1003_2nd,Carpinus caroliniana,2,24.05,0.00962
1003,2,1003_2nd,Acer rubrum,4,2650.8,1.06032
1003,2,1003_2nd,Acer rubrum,5,2454,0.9816
1003,2,1003_2nd,Carya cordiformis,2,24.05,0.00962
1003,2,1003_2nd,Ulmus americana,11,27432.46559,10.97298624
1003,2,1003_2nd,Ostrya virginiana,4,441.8,0.17672
1003,2,1003_2nd,Acer saccharum,4,441.8,0.17672
1003,3,acer_saccharum_1003_3,Acer saccharum,4,441.8,0.17672
1003,3,acer_rubrum_1003_3,Acer rubrum,4,2209,0.8836
1003,3,acer_rubrum_1003_3,Acer rubrum,5,3681,1.4724
1003,3,standing_dead_1003_3,Standing dead,2,264.55,0.10582
1003,3,fagus_grandifolia_1003_3,Fagus grandifolia,1,5.889,0.0023556
1003,3,ulmus_americana_1003_3,Ulmus americana,11,28557.78408,11.42311363
1003,3,fagus_grandifolia_1003_3,Fagus grandifolia,3,4305.6,1.72224
1003,3,fagus_grandifolia_1003_3,Fagus grandifolia,4,14137.6,5.65504
1003,3,ostrya_virginiana_1003_3,Ostrya virginiana,4,441.8,0.17672
1003,3,fagus_grandifolia_1003_3,Fagus grandifolia,6,7215,2.886
1003,3,fagus_grandifolia_1003_3,Fagus grandifolia,10,11040,4.416
1003,3,fagus_grandifolia_1003_3,Fagus grandifolia,5,4908,1.9632
1003,3,fagus_grandifolia_1003_3,Fagus grandifolia,7,7952,3.1808
1003,3,acer_rubrum_1003_3,Acer rubrum,3,331.2,0.13248
1003,3,cornus_florida_1003_3,Cornus florida,4,441.8,0.17672
1003,3,acer_rubrum_1003_3,Acer rubrum,6,2405,0.962
1003,3,standing_dead_1003_3,Standing dead,11,35997.07548,14.39883019
1003,3,standing_dead_1003_3,Standing dead,10,11040,4.416
1003,3,fagus_grandifolia_1003_3,Fagus grandifolia,11,186235.2618,74.49410474
1003,3,acer_saccharum_1003_3,Acer saccharum,3,883.2,0.35328
1003,3,fagus_grandifolia_1003_3,Fagus grandifolia,2,986.05,0.39442
1003,3,acer_rubrum_1003_3,Acer rubrum,11,28086.15248,11.23446099
1003,3,standing_dead_1003_3,Standing dead,3,1545.6,0.61824
1003,3,standing_dead_1003_3,Standing dead,4,1325.4,0.53016
1003,3,acer_saccharum_1003_3,Acer saccharum,2,120.25,0.0481
1003,3,fagus_grandifolia_1003_3,Fagus grandifolia,12,103817.8562,41.52714249
1003,3,tilia_americana_1003_3,Tilia americana,4,441.8,0.17672
1003,3,standing_dead_1003_3,Standing dead,1,3.926,0.0015704
1004,1,1004_1st,Fraxinus americana,7,13253.33333,5.301333333
1004,1,1004_1st,Crataegus sp.,4,1472.666667,0.589066667
1004,1,1004_1st,Acer rubrum,9,27666.66667,11.06666667
1004,1,1004_1st,Crataegus sp.,2,80.16666667,0.032066667
1004,1,1004_1st,Ulmus rubra,6,16033.33333,6.413333333
1004,1,1004_1st,Platanus occidentalis,12,147262.1556,58.90486225
1004,1,1004_1st,Ulmus rubra,5,4090,1.636
1004,1,1004_1st,Platanus occidentalis,11,51610.08411,20.64403365
1004,1,1004_1st,Ulmus americana,4,1472.666667,0.589066667
1004,1,1004_1st,Ulmus rubra,11,117171.1958,46.86847832
1004,2,1004_2nd,Berberis thunbergii,1,91.60666667,0.036642667
1004,2,1004_2nd,Lindera benzoin,1,117.78,0.047112
1004,2,1004_2nd,Standing dead,0,6.543333333,0.002617333
1004,2,1004_2nd,Quercus rubra,4,1472.666667,0.589066667
1004,2,1004_2nd,Standing dead,6,8016.666667,3.206666667
1004,2,1004_2nd,Crataegus sp.,4,1472.666667,0.589066667
1004,2,1004_2nd,Standing dead,5,4090,1.636
1004,2,1004_2nd,Acer rubrum,9,27666.66667,11.06666667
1004,2,1004_2nd,Lonicera maackii,0,6.543333333,0.002617333
1004,2,1004_2nd,Ulmus rubra,6,16033.33333,6.413333333
1004,2,1004_2nd,Platanus occidentalis,11,160096.6088,64.03864353
1004,2,1004_2nd,Fraxinus sp.,8,19800,7.92
1004,2,1004_2nd,Standing dead,11,54676.54034,21.87061614
1004,2,1004_2nd,Ulmus rubra,11,123561.1953,49.4244781
1004,2,1004_2nd,Ulmus rubra,5,4090,1.636
1004,3,standing_dead_1004_3,Standing dead,5,4090,1.636
1004,3,standing_dead_1004_3,Standing dead,3,368,0.1472
1004,3,standing_dead_1004_3,Standing dead,7,13253.33333,5.301333333
1004,3,quercus_rubra_1004_3,Quercus rubra,4,1472.666667,0.589066667
1004,3,acer_rubrum_1004_3,Acer rubrum,10,36800,14.72
1004,3,lonicera_maackii_1004_3,Lonicera maackii,0,13.08666667,0.005234667
1004,3,platanus_occidentalis_1004_3,Platanus occidentalis,11,168390.4134,67.35616537
1004,3,lindera_benzoin_1004_3,Lindera benzoin,0,71.97666667,0.028790667
1004,3,berberis_thunbergii_1004_3,Berberis thunbergii,0,39.26,0.015704
1004,3,ulmus_rubra_1004_3,Ulmus rubra,6,8016.666667,3.206666667
1004,3,standing_dead_1004_3,Standing dead,0,6.543333333,0.002617333
1004,3,standing_dead_1004_3,Standing dead,11,117171.1958,46.86847832
1005,1,1005_1st,Ulmus americana,3,331.2,0.13248
1005,1,1005_1st,Fraxinus americana,2,24.05,0.00962
1005,1,1005_1st,Carpinus caroliniana,3,441.6,0.17664
1005,1,1005_1st,Tilia americana,4,1325.4,0.53016
1005,1,1005_1st,Carya cordiformis,3,220.8,0.08832
1005,1,1005_1st,Acer nigrum,3,110.4,0.04416
1005,1,1005_1st,Acer saccharum,3,8169.6,3.26784
1005,1,1005_1st,Carya ovata,2,48.1,0.01924
1005,1,1005_1st,Carya cordiformis,5,1227,0.4908
1005,1,1005_1st,Carya cordiformis,4,1325.4,0.53016
1005,1,1005_1st,Carya cordiformis,2,120.25,0.0481
1005,1,1005_1st,Fagus grandifolia,4,441.8,0.17672
1005,1,1005_1st,Vitis riparia,3,220.8,0.08832
1005,1,1005_1st,Acer saccharum,2,1659.45,0.66378
1005,1,1005_1st,Parthenocissus quinquefolia,1,17.667,0.0070668
1005,1,1005_1st,Parthenocissus quinquefolia,4,441.8,0.17672
1005,1,1005_1st,Carpinus caroliniana,2,72.15,0.02886
1005,1,1005_1st,Ostrya virginiana,3,441.6,0.17664
1005,1,1005_1st,Prunus virginiana,1,5.889,0.0023556
1005,1,1005_1st,Fagus grandifolia,8,5940,2.376
1005,1,1005_1st,Acer saccharum,11,82479.76623,32.99190649
1005,1,1005_1st,Fagus grandifolia,3,993.6,0.39744
1005,1,1005_1st,Standing dead,2,432.9,0.17316
1005,1,1005_1st,Acer saccharum,6,16835,6.734
1005,1,1005_1st,Ulmus rubra,4,441.8,0.17672
1005,1,1005_1st,Tilia americana,5,4908,1.9632
1005,1,1005_1st,Fagus grandifolia,1,11.778,0.0047112
1005,1,1005_1st,Standing dead,4,2209,0.8836
1005,1,1005_1st,Ulmus rubra,3,110.4,0.04416
1005,1,1005_1st,Acer saccharum,1,104.039,0.0416156
1005,1,1005_1st,Carpinus caroliniana,4,2209,0.8836
1005,1,1005_1st,Carpinus caroliniana,5,2454,0.9816
1005,1,1005_1st,Carya ovata,5,1227,0.4908
1005,1,1005_1st,Acer saccharum,4,17672,7.0688
1005,1,1005_1st,Carya ovata,3,110.4,0.04416
1005,1,1005_1st,Ulmus americana,2,120.25,0.0481
1005,1,1005_1st,Acer saccharum,5,14724,5.8896
1005,1,1005_1st,Ulmus americana,5,3681,1.4724
1005,1,1005_1st,Ostrya virginiana,4,1325.4,0.53016
1005,1,1005_1st,Ostrya virginiana,5,2454,0.9816
1005,1,1005_1st,Standing dead,1,51.038,0.0204152
1005,1,1005_1st,Carya cordiformis,8,5940,2.376
1005,1,1005_1st,Standing dead,3,1435.2,0.57408
1005,1,1005_1st,Acer saccharum,12,14998.67019,5.999468075
1005,1,1005_1st,Tilia americana,6,2405,0.962
1005,1,1005_1st,Standing dead,8,17820,7.128
1005,1,1005_1st,Carya ovata,11,27062.38598,10.82495439
1005,1,1005_1st,Quercus rubra,1,1.963,0.0007852
1005,1,1005_1st,Fraxinus americana,3,331.2,0.13248
1005,1,1005_1st,Standing dead,6,4810,1.924
1005,1,1005_1st,Ulmus americana,4,883.6,0.35344
1005,1,1005_1st,Tilia americana,7,3976,1.5904
1005,1,1005_1st,Quercus rubra,3,110.4,0.04416
1005,1,1005_1st,Acer saccharum,7,7952,3.1808
1005,1,1005_1st,Ulmus rubra,5,1227,0.4908
1005,1,1005_1st,Crataegus sp.,2,24.05,0.00962
1005,1,1005_1st,Tilia americana,8,5940,2.376
1005,1,1005_1st,Fagus grandifolia,2,240.5,0.0962
1005,1,1005_1st,Acer saccharum,10,11040,4.416
1005,1,1005_1st,Crataegus sp.,1,1.963,0.0007852
1005,1,1005_1st,Parthenocissus quinquefolia,3,110.4,0.04416
1005,1,1005_1st,Vitis riparia,2,48.1,0.01924
1005,1,1005_1st,Ulmus americana,1,1.963,0.0007852
1005,2,1005_2nd,Carya ovata,2,48.1,0.01924
1005,2,1005_2nd,Ulmus americana,5,1227,0.4908
1005,2,1005_2nd,Carya ovata,5,1227,0.4908
1005,2,1005_2nd,Standing dead,3,883.2,0.35328
1005,2,1005_2nd,Fagus grandifolia,9,8300,3.32
1005,2,1005_2nd,Carya cordiformis,3,110.4,0.04416
1005,2,1005_2nd,Parthenocissus quinquefolia,4,441.8,0.17672
1005,2,1005_2nd,Vitis riparia,4,441.8,0.17672
1005,2,1005_2nd,Standing dead,2,721.5,0.2886
1005,2,1005_2nd,Ulmus americana,1,3.926,0.0015704
1005,2,1005_2nd,Crataegus sp.,1,1.963,0.0007852
1005,2,1005_2nd,Acer saccharum,8,5940,2.376
1005,2,1005_2nd,Acer saccharum,11,89975.92046,35.99036818
1005,2,1005_2nd,Fraxinus pennsylvanica,1,5.889,0.0023556
1005,2,1005_2nd,Quercus rubra,3,110.4,0.04416
1005,2,1005_2nd,Tilia americana,7,3976,1.5904
