"","simp_plot","oldgrowthscore","cwd_diversity_score","depressions_score","basalarea_score","largetreefrequency_score","x","y"
"1",1002,2,1,0,1,0,-81.7242,41.20647
"2",1003,7,1,1,3,2,-81.83675,41.34767
"3",1004,5,2,0,2,1,-81.55633,41.38163
"4",1005,5,1,1,2,1,-81.68763,41.25647
"5",1006,6,2,1,2,1,-81.9591,41.40871
"6",1008,5,1,1,2,1,-81.69285,41.36983
"7",1009,8,2,1,3,2,-81.70868,41.22135
"8",1010,4,1,1,2,0,-81.898,41.40334
"9",1011,3,1,1,1,0,-81.50523,41.37318
"10",1012,6,1,1,2,2,-81.42216,41.56544
"11",1013,5,1,1,2,1,-81.6903,41.30081
"12",1014,2,1,0,1,0,-81.83317,41.34597
"13",1015,5,1,1,3,0,-81.5599,41.38154
"14",1016,3,1,1,1,0,-81.41351,41.4355
"15",1017,5,1,1,2,1,-81.43209,41.57051
"16",1018,5,1,1,2,1,-81.70271,41.21217
"17",1019,7,2,1,3,1,-81.80104,41.29215
"18",1021,5,2,1,2,0,-81.73197,41.22059
"19",1022,5,1,0,3,1,-81.83187,41.46807
"20",1024,5,3,0,2,0,-81.75364,41.41379
"21",1025,7,3,1,2,1,-81.60165,41.31046
"22",1026,6,2,1,3,0,-81.88935,41.40311
"23",1028,4,1,1,2,0,-81.42877,41.55536
"24",1029,2,1,0,1,0,-81.56622,41.28362
"25",1030,6,2,0,3,1,-81.83332,41.45
"26",1031,5,1,1,2,1,-81.56955,41.37377
"27",1033,6,1,1,3,1,-81.41978,41.58021
"28",1034,6,1,1,3,1,-81.69342,41.21066
"29",1035,6,1,1,3,1,-81.8289,41.33049
"30",1038,8,2,1,3,2,-81.82113,41.45304
"31",1039,5,1,1,2,1,-81.78182,41.30306
"32",1040,7,2,1,3,1,-81.43747,41.57244
"33",1041,4,2,0,1,1,-81.60463,41.3064
"34",1043,8,1,1,3,3,-81.59576,41.34904
"35",1044,5,1,1,2,1,-81.41309,41.56145
"36",1045,6,2,1,2,1,-81.58578,41.29832
"37",1046,2,1,0,1,0,-81.83884,41.37843
"38",1047,5,1,1,2,1,-81.55157,41.37316
"39",1048,6,1,1,3,1,-81.41325,41.41319
"40",1050,7,2,2,2,1,-81.94492,41.41977
"41",1051,5,1,1,2,1,-81.80437,41.30559
"42",1052,9,2,1,3,3,-81.64437,41.4183
"43",1053,5,1,1,2,1,-81.70454,41.21583
"44",1054,7,2,1,2,2,-81.85876,41.41938
"45",1055,5,1,1,3,0,-81.47318,41.41079
"46",1057,3,1,1,1,0,-81.60748,41.31774
"47",1058,7,2,1,3,1,-81.85524,41.42507
"48",1059,3,1,1,1,0,-81.57111,41.35205
"49",1060,6,2,0,3,1,-81.42509,41.42344
"50",1061,6,2,1,2,1,-81.59682,41.3046
"51",1063,2,1,0,1,0,-81.5435,41.37847
"52",1064,7,2,1,2,2,-81.42733,41.41441
"53",1065,4,2,1,1,0,-81.41969,41.5704
"54",1066,5,1,1,2,1,-81.72507,41.21209
"55",1067,7,1,1,3,2,-81.84715,41.3447
"56",1068,4,2,1,1,0,-81.5406,41.38706
"57",1069,5,1,1,2,1,-81.69182,41.25361
"58",1070,8,2,2,3,1,-81.96832,41.41043
"59",1071,5,1,1,2,1,-81.794,41.3124
"60",1072,6,1,1,3,1,-81.69099,41.39172
"61",1073,4,2,1,1,0,-81.70248,41.22686
"62",1074,3,1,0,2,0,-81.87908,41.39828
"63",1075,7,2,1,3,1,-81.48324,41.38291
"64",1076,5,2,0,2,1,-81.42065,41.56741
"65",1077,3,1,0,2,0,-81.75613,41.3049
"66",1078,4,1,0,2,1,-81.82869,41.36795
"67",1080,7,2,1,3,1,-81.41015,41.44186
"68",1081,6,1,1,2,2,-81.43044,41.57407
"69",1082,2,1,0,1,0,-81.70123,41.2087
"70",1083,4,1,1,2,0,-81.80569,41.29954
"71",1086,8,2,1,3,2,-81.82507,41.46979
"72",1087,7,2,1,3,1,-81.77397,41.29959
"73",1088,2,1,0,1,0,-81.73453,41.44709
"74",1089,7,1,1,3,2,-81.6077,41.31165
"75",1090,6,2,0,2,2,-81.89098,41.40411
"76",1091,6,2,1,2,1,-81.50464,41.37995
"77",1092,5,1,1,2,1,-81.42676,41.55824
"78",1093,5,1,1,2,1,-81.58172,41.28979
"79",1094,4,2,0,2,0,-81.83196,41.43916
"80",1097,5,1,1,2,1,-81.431,41.57827
"81",1098,6,1,1,2,2,-81.6964,41.20398
"82",1099,5,1,0,3,1,-81.81747,41.31774
"83",1100,5,1,1,3,0,-81.43801,41.56174
"84",1101,4,2,1,1,0,-81.69864,41.21928
"85",1102,8,3,1,3,1,-81.83067,41.46615
"86",1103,4,1,1,2,0,-81.7821,41.29571
"87",1104,6,1,1,3,1,-81.40914,41.53256
"88",1105,5,1,1,2,1,-81.59961,41.30434
"89",1106,3,1,1,1,0,-81.84531,41.44261
"90",1107,4,1,2,1,0,-81.57993,41.35269
"91",1108,3,1,1,1,0,-81.40716,41.45249
"92",1110,7,1,1,3,2,-81.87167,41.3909
"93",1111,3,1,0,2,0,-81.55406,41.3695
"94",1112,5,2,1,2,0,-81.42015,41.41892
"95",1113,6,1,1,3,1,-81.4248,41.58612
"96",1114,6,1,2,2,1,-81.94657,41.41419
"97",1115,5,1,0,3,1,-81.81107,41.32073
"98",1116,3,1,1,1,0,-81.66585,41.43114
"99",1117,4,1,1,2,0,-81.7002,41.21517
"100",1119,2,1,0,1,0,-81.46086,41.41323
"101",1122,5,1,1,2,1,-81.83254,41.35476
"102",1123,3,1,1,1,0,-81.57014,41.35466
"103",1124,7,1,1,3,2,-81.41714,41.43468
"104",1125,5,1,0,3,1,-81.59442,41.31428
"105",1126,5,1,1,3,0,-81.83667,41.35075
"106",1127,6,2,1,2,1,-81.5519,41.38357
"107",1128,6,2,1,2,1,-81.43421,41.41417
"108",1129,6,1,1,2,2,-81.42603,41.57619
"109",1131,5,1,0,2,2,-81.83716,41.33519
"110",1132,3,1,0,2,0,-81.54099,41.38888
"111",1133,3,1,1,1,0,-81.72224,41.21978
"112",1134,4,1,1,2,0,-81.95873,41.42271
"113",1135,5,1,1,3,0,-81.79389,41.30794
"114",1136,4,1,1,2,0,-81.69235,41.38466
"115",1138,3,1,1,1,0,-81.8881,41.3948
"116",1140,7,1,2,3,1,-81.42417,41.55653
"117",1141,3,1,1,1,0,-81.57743,41.28949
"118",1143,5,1,0,3,1,-81.57004,41.37996
"119",1144,4,1,1,2,0,-81.40151,41.43963
"120",1145,6,2,1,2,1,-81.42487,41.58353
"121",1146,6,2,1,2,1,-81.71417,41.2065
"122",1147,4,1,1,2,0,-81.79859,41.29803
"123",1148,4,1,1,2,0,-81.52927,41.55127
"124",1149,6,2,1,2,1,-81.69746,41.22356
"125",1150,7,2,1,2,2,-81.82706,41.47685
"126",1151,4,1,1,2,0,-81.78927,41.29711
"127",1153,5,2,1,1,1,-81.60925,41.31002
"128",1154,5,3,0,1,1,-81.84174,41.43103
"129",1155,6,1,1,3,1,-81.50477,41.37782
"130",1156,4,1,1,1,1,-81.41343,41.54275
"131",1157,4,1,0,2,1,-81.58851,41.29049
"132",1159,5,1,1,2,1,-81.56056,41.37484
"133",1161,7,2,2,3,0,-81.43491,41.57983
"134",1162,7,3,1,2,1,-81.6862,41.20768
"135",1164,7,2,1,3,1,-81.60572,41.43237
"136",1166,8,2,1,3,2,-81.87435,41.41386
"137",1167,3,1,1,1,0,-81.78931,41.2929
"138",1168,7,2,1,3,1,-81.41203,41.52802
"139",1169,4,1,1,1,1,-81.61401,41.32252
"140",1171,5,1,1,2,1,-81.58605,41.35514
"141",1173,5,2,2,1,0,-81.59253,41.31765
"142",1174,4,2,1,1,0,-81.86871,41.38985
"143",1175,6,1,1,2,2,-81.55584,41.37352
"144",1176,9,3,1,3,2,-81.42776,41.41706
"145",1177,3,1,0,2,0,-81.41565,41.57114
"146",1178,7,1,1,3,2,-81.96749,41.40593
"147",1179,4,2,1,1,0,-81.81235,41.32454
"148",1180,5,1,0,3,1,-81.66817,41.42994
"149",1182,6,1,1,3,1,-81.88283,41.41235
"150",1183,5,1,1,2,1,-81.46382,41.41385
"151",1184,6,2,1,2,1,-81.43601,41.56814
"152",1187,7,2,1,3,1,-81.56585,41.35858
"153",1188,3,1,1,1,0,-81.41765,41.43235
"154",1189,7,1,1,3,2,-81.58905,41.30574
"155",1190,6,2,1,2,1,-81.84475,41.35514
"156",1191,6,2,1,2,1,-81.55486,41.38575
"157",1192,6,1,1,3,1,-81.43392,41.41889
"158",1194,2,1,0,1,0,-81.71863,41.20401
"159",1195,7,2,1,3,1,-81.93641,41.48762
"160",1196,5,1,1,3,0,-81.5368,41.38266
"161",1197,5,1,1,2,1,-81.72663,41.21344
"162",1198,5,1,1,2,1,-81.96962,41.43784
"163",1199,6,2,1,2,1,-81.79028,41.30526
"164",1200,5,1,1,2,1,-81.71295,41.44497
"165",1201,5,1,1,3,0,-81.61924,41.31461
"166",1204,4,1,2,1,0,-81.41706,41.55966
"167",1205,4,1,2,1,0,-81.58927,41.28524
"168",1206,6,1,0,3,2,-81.82822,41.44907
"169",1207,2,1,0,1,0,-81.55997,41.36217
"170",1208,3,1,0,1,1,-81.40211,41.43795
"171",1209,8,2,1,3,2,-81.42573,41.57985
"172",1210,4,1,1,2,0,-81.71303,41.20594
"173",1211,6,1,1,3,1,-81.81908,41.32306
"174",1212,3,1,1,1,0,-81.5341,41.55911
"175",1213,3,1,1,1,0,-81.68613,41.21569
"176",1215,5,1,1,2,1,-81.79561,41.29944
"177",1216,6,2,1,2,1,-81.61985,41.37006
"178",1217,6,1,2,3,0,-81.60999,41.30235
"179",1218,7,2,1,3,1,-81.85329,41.42996
"180",1219,5,1,1,3,0,-81.51543,41.38079
"181",1220,4,2,1,1,0,-81.41535,41.544009
"182",1221,4,2,1,1,0,-81.59135,41.29065
"183",1222,7,2,1,3,1,-81.88471,41.39321
"184",1223,5,1,1,2,1,-81.56194,41.37124
"185",1224,5,1,1,2,1,-81.41545,41.41759
"186",1226,6,2,1,2,1,-81.95296,41.40802
"187",1229,6,2,1,2,1,-81.70977,41.22605
"188",1230,3,1,1,1,0,-81.85859,41.42117
"189",1231,5,1,1,2,1,-81.45687,41.41492
"190",1232,4,1,0,2,1,-81.41906,41.5524
"191",1233,5,3,1,1,0,-81.61209,41.31934
"192",1235,2,1,0,1,0,-81.59509,41.34188
"193",1236,4,1,1,2,0,-81.41928,41.42325
"194",1237,7,2,1,3,1,-81.59824,41.30669
"195",1238,4,1,1,2,0,-81.86656,41.38535
"196",1240,6,1,1,3,1,-81.4238,41.41478
"197",1241,3,1,1,1,0,-81.69456,41.26159
"198",1242,5,1,1,2,1,-81.96624,41.4176
"199",1243,5,1,1,2,1,-81.75891,41.30612
"200",1245,2,1,0,1,0,-81.71053,41.21436
"201",1246,5,1,1,2,1,-81.88512,41.41335
"202",1248,5,1,1,2,1,-81.42982,41.56488
"203",1249,3,1,1,1,0,-81.73801,41.30163
"204",1250,3,1,0,2,0,-81.82852,41.33799
"205",1252,6,1,1,3,1,-81.41674,41.42056
"206",1253,5,1,1,2,1,-81.73128,41.20741
"207",1254,5,1,1,2,1,-81.84624,41.35151
"208",1255,3,1,1,1,0,-81.55638,41.3784
"209",1256,6,1,1,3,1,-81.42554,41.40947
"210",1257,5,1,0,3,1,-81.41979,41.5869
"211",1258,7,1,1,3,2,-81.94497,41.41858
"212",1259,5,1,1,2,1,-81.80927,41.31599
"213",1261,6,2,1,2,1,-81.70239,41.2172
"214",1262,8,2,1,3,2,-81.8542,41.42294
"215",1263,3,1,1,1,0,-81.472,41.41465
"216",1264,6,2,1,2,1,-81.42652,41.552
"217",1265,4,1,1,2,0,-81.60904,41.29888
"218",1266,7,2,2,2,1,-81.82435,41.35013
"219",1267,5,1,1,2,1,-81.57704,41.35136
"220",1268,6,1,2,3,0,-81.4071,41.41992
"221",1269,5,2,0,2,1,-81.59778,41.31123
"222",1271,5,1,1,2,1,-81.55364,41.38806
"223",1272,5,1,1,2,1,-81.4332,41.41477
"224",1273,6,2,1,2,1,-81.43143,41.56975
"225",1274,4,1,1,2,0,-81.70934,41.21223
"226",1275,6,1,1,3,1,-81.80279,41.29992
"227",1276,7,3,1,2,1,-81.52643,41.54681
"228",1277,3,1,1,1,0,-81.72739,41.22204
"229",1279,4,1,1,1,1,-81.76768,41.29813
"230",1281,3,1,1,1,0,-81.61399,41.31289
"231",1282,4,1,1,2,0,-81.84201,41.4378
"232",1283,6,1,1,3,1,-81.50002,41.38189
"233",1284,6,2,1,2,1,-81.43165,41.55812
"234",1286,7,2,1,2,2,-81.82693,41.44014
"235",1287,7,3,0,3,1,-81.56533,41.37421
"236",1288,6,1,1,3,1,-81.41527,41.40907
"237",1289,6,2,1,2,1,-81.42635,41.58569
"238",1291,5,1,0,3,1,-81.79915,41.31795
"239",1292,6,1,1,2,2,-81.60068,41.42444
"240",1293,4,1,1,2,0,-81.71315,41.22407
"241",1294,5,1,1,2,1,-81.87309,41.4157
"242",1295,3,1,1,1,0,-81.47918,41.39699
"243",1296,4,2,0,2,0,-81.42871,41.54783
"244",1297,7,2,1,2,2,-81.61149,41.32401
"245",1298,7,1,1,3,2,-81.84109,41.43949
"246",1299,7,2,1,2,2,-81.59308,41.34437
"247",1300,6,1,1,3,1,-81.4221,41.42369
"248",1301,7,2,1,2,2,-81.59385,41.3068
"249",1302,4,2,0,1,1,-81.86494,41.38078
"250",1304,6,2,1,2,1,-81.42466,41.41853
"251",1306,6,1,2,2,1,-81.95806,41.40342
"252",1307,4,1,1,2,0,-81.80631,41.32277
"253",1308,4,1,0,2,1,-81.66673,41.43905
"254",1309,5,2,1,2,0,-81.70901,41.21985
"255",1310,8,2,1,3,2,-81.87632,41.41267
"256",1312,7,2,1,2,2,-81.42865,41.56815
"257",1313,5,1,0,3,1,-81.6686,41.3019
"258",1314,5,1,1,2,1,-81.82169,41.33349
"259",1315,3,1,0,2,0,-81.56807,41.35337
"260",1316,5,1,1,2,1,-81.41673,41.42686
"261",1317,6,1,1,3,1,-81.72942,41.21097
"262",1318,6,2,1,2,1,-81.84906,41.35734
"263",1319,4,1,0,2,1,-81.55237,41.3793
"264",1320,4,1,2,1,0,-81.4279,41.41164
"265",1321,5,1,1,2,1,-81.43488,41.57478
"266",1322,5,1,1,2,1,-81.70638,41.20947
"267",1324,3,1,1,1,0,-81.52014,41.3841
"268",1325,3,1,0,2,0,-81.72513,41.21915
"269",1326,7,2,1,3,1,-81.82401,41.47466
"270",1327,3,1,1,1,0,-81.7692,41.29438
