"","simp_plot","oldgrowthscore","cwd_diversity_score","depressions_score","basalarea_score","largetreefrequency_score","x","y","community"
"1",1002,3,2,0,1,0,-81.7242,41.20647,"Sugar Maple - Mixed Hardwood Forest"
"2",1003,7,1,1,3,2,-81.83675,41.34767,"Beech - Mixed Hardwood (Hemlock) Forest"
"4",1005,6,2,1,2,1,-81.68763,41.25647,"Sugar Maple - Mixed Hardwood Forest"
"6",1008,6,2,1,2,1,-81.69285,41.36983,"Oak - Mixed Hardwood"
"8",1010,5,2,1,2,0,-81.898,41.40334,"Sugar Maple - Mixed Hardwood Forest"
"10",1012,7,2,1,2,2,-81.42216,41.56544,"Sugar Maple - Mixed Hardwood Forest"
"11",1013,6,2,1,2,1,-81.6903,41.30081,"Beech - Mixed Hardwood (Hemlock) Forest"
"15",1017,6,2,1,2,1,-81.43209,41.57051,"Oak - Mixed Hardwood"
"16",1018,6,2,1,2,1,-81.70271,41.21217,"Sugar Maple - Mixed Hardwood Forest"
"17",1019,8,3,1,3,1,-81.80104,41.29215,"Oak - Mixed Hardwood"
"18",1021,6,3,1,2,0,-81.73197,41.22059,"Sugar Maple - Mixed Hardwood Forest"
"20",1024,5,3,0,2,0,-81.75364,41.41379,"Beech - Mixed Hardwood (Hemlock) Forest"
"21",1025,7,3,1,2,1,-81.60165,41.31046,"Oak - Mixed Hardwood"
"22",1026,7,3,1,3,0,-81.88935,41.40311,"Oak - Mixed Hardwood"
"25",1030,7,3,0,3,1,-81.83332,41.45,"Sugar Maple - Mixed Hardwood Forest"
"26",1031,7,3,1,2,1,-81.56955,41.37377,"Beech - Mixed Hardwood (Hemlock) Forest"
"27",1033,7,2,1,3,1,-81.41978,41.58021,"Beech - Mixed Hardwood (Hemlock) Forest"
"30",1038,9,3,1,3,2,-81.82113,41.45304,"Beech - Mixed Hardwood (Hemlock) Forest"
"33",1041,5,3,0,1,1,-81.60463,41.3064,"Sugar Maple - Mixed Hardwood Forest"
"35",1044,6,2,1,2,1,-81.41309,41.56145,"Sugar Maple - Mixed Hardwood Forest"
"36",1045,7,3,1,2,1,-81.58578,41.29832,"Oak - Mixed Hardwood"
"38",1047,6,2,1,2,1,-81.55157,41.37316,"Oak - Mixed Hardwood"
"40",1050,8,3,2,2,1,-81.94492,41.41977,"Beech - Mixed Hardwood (Hemlock) Forest"
"41",1051,5,1,1,2,1,-81.80437,41.30559,"Beech - Mixed Hardwood (Hemlock) Forest"
"43",1053,6,2,1,2,1,-81.70454,41.21583,"Sugar Maple - Mixed Hardwood Forest"
"46",1057,4,2,1,1,0,-81.60748,41.31774,"Sugar Maple - Mixed Hardwood Forest"
"49",1060,7,3,0,3,1,-81.42509,41.42344,"Beech - Mixed Hardwood (Hemlock) Forest"
"50",1061,7,3,1,2,1,-81.59682,41.3046,"Oak - Mixed Hardwood"
"52",1064,8,3,1,2,2,-81.42733,41.41441,"Oak - Mixed Hardwood"
"54",1066,6,2,1,2,1,-81.72507,41.21209,"Sugar Maple - Mixed Hardwood Forest"
"56",1068,5,3,1,1,0,-81.5406,41.38706,"Beech - Mixed Hardwood (Hemlock) Forest"
"57",1069,6,2,1,2,1,-81.69182,41.25361,"Sugar Maple - Mixed Hardwood Forest"
"62",1074,4,2,0,2,0,-81.87908,41.39828,"Sugar Maple - Mixed Hardwood Forest"
"63",1075,8,3,1,3,1,-81.48324,41.38291,"Sugar Maple - Mixed Hardwood Forest"
"65",1077,5,3,0,2,0,-81.75613,41.3049,"Beech - Mixed Hardwood (Hemlock) Forest"
"68",1081,7,2,1,2,2,-81.43044,41.57407,"Beech - Mixed Hardwood (Hemlock) Forest"
"69",1082,3,2,0,1,0,-81.70123,41.2087,"Sugar Maple - Mixed Hardwood Forest"
"72",1087,8,3,1,3,1,-81.77397,41.29959,"Beech - Mixed Hardwood (Hemlock) Forest"
"74",1089,8,2,1,3,2,-81.6077,41.31165,"Beech - Mixed Hardwood (Hemlock) Forest"
"75",1090,7,3,0,2,2,-81.89098,41.40411,"Sugar Maple - Mixed Hardwood Forest"
"76",1091,7,3,1,2,1,-81.50464,41.37995,"Sugar Maple - Mixed Hardwood Forest"
"77",1092,6,2,1,2,1,-81.42676,41.55824,"Oak - Mixed Hardwood"
"79",1094,5,3,0,2,0,-81.83196,41.43916,"Sugar Maple - Mixed Hardwood Forest"
"80",1097,6,2,1,2,1,-81.431,41.57827,"Beech - Mixed Hardwood (Hemlock) Forest"
"82",1099,6,2,0,3,1,-81.81747,41.31774,"Oak - Mixed Hardwood"
"84",1101,5,3,1,1,0,-81.69864,41.21928,"Sugar Maple - Mixed Hardwood Forest"
"85",1102,8,3,1,3,1,-81.83067,41.46615,"Sugar Maple - Mixed Hardwood Forest"
"86",1103,5,2,1,2,0,-81.7821,41.29571,"Sugar Maple - Mixed Hardwood Forest"
"88",1105,6,2,1,2,1,-81.59961,41.30434,"Oak - Mixed Hardwood"
"92",1110,8,2,1,3,2,-81.87167,41.3909,"Sugar Maple - Mixed Hardwood Forest"
"95",1113,7,2,1,3,1,-81.4248,41.58612,"Oak - Mixed Hardwood"
"96",1114,7,2,2,2,1,-81.94657,41.41419,"Beech - Mixed Hardwood (Hemlock) Forest"
"97",1115,6,2,0,3,1,-81.81107,41.32073,"Beech - Mixed Hardwood (Hemlock) Forest"
"99",1117,5,2,1,2,0,-81.7002,41.21517,"Beech - Mixed Hardwood (Hemlock) Forest"
"104",1125,6,2,0,3,1,-81.59442,41.31428,"Sugar Maple - Mixed Hardwood Forest"
