"plot_id","group_id","species","dbh_class_index","basal_cm2"
"1164_2",berberis_thunbergii_1164_2,Berberis thunbergii,0,0.785200000000000000000000
"1022_1","1022_1st",Standing dead,8,1188.00000000000000000000
"1119_2",pyrus_ioensis_1119_2,Malus sp.,3,11.0400000000000000000000
"3425_3",standing_dead_3425_3,Standing dead,3,55.2000000000000000000000
"1248_3",fagus_grandifolia_1248_3,Fagus grandifolia,2,137.08500000000000000000000
"1171_2",lonicera_maackii_1171_2,Lonicera maackii,0,0.39260000000000000000
Large-100_1,fraxinus_pennsylvanica_Large-100_1,Fraxinus pennsylvanica,3,176.640000000000000000
VIBI53_1,fraxinus_americana_VIBI53_1,Fraxinus americana,2,4.81000000000000000000000
"3903_10",vitis_riparia_3903_10,Vitis riparia,3,44.160000000000000000
"1134_3",ligustrum_vulgare_1134_3,Ligustrum vulgare,0,0.196300000000000000000000
"1047_1","1047_1st",Standing dead,4,44.1800000000000000000000
"3444_1","3444_1st",Berberis thunbergii,0,0.588900000000000000000000
X-Large-21_1,fraxinus_pennsylvanica_X-Large-21_1,Fraxinus pennsylvanica,7,397.600000000000000000000
"1359_1","1359_1st",Acer rubrum,7,397.600000000000000000000
"1012_1","1012_1st",Standing dead,3,22.0800000000000000000000
"1090_3",asimina_triloba_1090_3,Asimina triloba,2,60.1250000000000000000
"1350_2",acer_saccharum_1350_2,Acer saccharum,7,795.200000000000000000000
"1135_2",parthenocissus_quinquefolia_1135_2,Parthenocissus quinquefolia,2,2.40500000000000000000000
"3421_3",liriodendron_tulipifera_3421_3,Liriodendron tulipifera,5,122.700000000000000000000
"1184_3",acer_saccharinum_1184_3,Acer saccharinum,10,2208.00000000000000000000
VIBI011_1,VIBI011_1st,Ulmus rubra,2,2.40500000000000000000000
Large-066_1,standing_dead_Large-066_1,Standing dead,3,33.1200000000000000000000
Large-028_1,viburnum_dentatum_Large-028_1,Viburnum dentatum,0,3.72970000000000000000
VIBI002_1,VIBI002_1st,Carpinus caroliniana,2,45.6950000000000000000
"1054_3",acer_negundo_1054_3,Acer negundo,1,4.514900000000000000000000
"1166_1","1166_1st",Populus deltoides,12,14315.94712508823
"1377_1","1377_1st",Standing dead,2,14.43000000000000000000000
"1070_2","1070_2nd",Acer rubrum,11,5448.32276745136
"1258_3",asimina_triloba_1258_3,Asimina triloba,3,11.0400000000000000000000
"3421_2",standing_dead_3421_2,Standing dead,9,2490.00000000000000000000
"1008_1","1008_1st",Standing dead,1,0.588900000000000000000000
bonnie_park_wet_woods_1,ulmus_americana_bonnie_park_wet_woods_1,Ulmus americana,4,485.9800000000000000000000
Large-021_1,fraxinus_sp.1_Large-021_1,Fraxinus sp.,8,1188.00000000000000000000
"1184_2",acer_rubrum_1184_2,Acer rubrum,10,6624.00000000000000000000
"1368_2",carpinus_caroliniana_1368_2,Carpinus caroliniana,4,88.3600000000000000000000
"1031_1","1031_1st",Standing dead,1,0.588900000000000000000000
"1100_2","1100_2nd",Prunus serotina,3,22.0800000000000000000000
"1126_2",prunus_serotina_1126_2,Prunus serotina,3,11.0400000000000000000000
"1262_2",acer_saccharum_1262_2,Acer saccharum,5,858.900000000000000000000
"3449_2",standing_dead_3449_2,Standing dead,4,265.0800000000000000000000
"1078_1","1078_1st",Toxicodendron radicans,2,21.64500000000000000000000
"1044_2","1044_2nd",Prunus serotina,3,11.0400000000000000000000
"1355_2",quercus_rubra_1355_2,Quercus rubra,5,122.700000000000000000000
"1298_1","1298_1st",Cornus florida,3,11.0400000000000000000000
"1175_3",fagus_grandifolia_1175_3,Fagus grandifolia,2,9.6200000000000000000
"1101_3",liriodendron_tulipifera_1101_3,Liriodendron tulipifera,2,4.81000000000000000000000
Exclosure102Be_outside_fall2015_1,standing_dead_Exclosure102Be_outside_fall2015_1,Standing dead,2,7.2150000000000000000
"1336_1","1336_1st",Populus deltoides,12,6110.47625104849
VIBI59_1,standing_dead_VIBI59_1,Standing dead,4,132.5400000000000000000000
"3389_1","3389_1st",Aesculus glabra,8,594.00000000000000000000
"1104_1","1104_1st",Fraxinus pennsylvanica,4,88.3600000000000000000000
"3392_2",carpinus_caroliniana_3392_2,Carpinus caroliniana,4,44.1800000000000000000000
"1081_1","1081_1st",Acer saccharum,1,0.392600000000000000000000
"3425_3",standing_dead_3425_3,Standing dead,4,88.3600000000000000000000
"1010_2","1010_2nd",Prunus serotina,7,1988.000000000000000000000
"1021_2","1021_2nd",Prunus serotina,11,1712.86700057186
"1248_1","1248_1st",Fagus grandifolia,9,830.00000000000000000000
"1078_3",viburnum_prunifolium_1078_3,Viburnum prunifolium,3,11.0400000000000000000000
"1026_3",acer_rubrum_1026_3,Acer rubrum,4,265.0800000000000000000000
"3033_1",carya_ovata_3033_1,Carya ovata,10,3312.00000000000000000000
"1343_2",fraxinus_sp.1_1343_2,Fraxinus sp.,5,122.700000000000000000000
"3365_2","3365_2nd",Fagus grandifolia,3,253.9200000000000000000000
