"plot_id","group_id","species","dbh_class_index","basal_cm2_ha"
"1253_2",standing_dead_1253_2,Standing dead,1,5.889000000000000000000000
"1277_1","1277_1st",Cornus racemosa,0,176.67000000000000000000
Large-110_1,cornus_florida_Large-110_1,Cornus florida,0,3.92600000000000000000
"1071_1","1071_1st",Carya cordiformis,5,1227.000000000000000000000
"1240_2",liriodendron_tulipifera_1240_2,Liriodendron tulipifera,9,16600.00000000000000000000
"3397_1","3397_1st",Carya ovata,6,2405.000000000000000000000
"1043_1","1043_1st",Platanus occidentalis,13,75989.235804111600
"1159_2",acer_saccharum_1159_2,Acer saccharum,4,1325.4000000000000000000000
"4235_9",prunus_serotina_4235_9,Prunus serotina,11,28557.784079478300
X-Large-004_1,viburnum_lentago_X-Large-004_1,Viburnum lentago,4,883.600000000000000000
"1325_2",liriodendron_tulipifera_1325_2,Liriodendron tulipifera,7,7952.000000000000000000000
"1198_2",fraxinus_pennsylvanica_1198_2,Fraxinus pennsylvanica,1,9.815000000000000000000000
"1307_1","1307_1st",Fraxinus sp.,6,12025.000000000000000000000
"1157_2",carpinus_caroliniana_1157_2,Carpinus caroliniana,4,441.8000000000000000000000
"1372_1","1372_1st",Ulmus americana,4,883.6000000000000000000000
"1316_2",acer_platanoides_1316_2,Acer platanoides,4,883.6000000000000000000000
"1322_1","1322_1st",Acer saccharum,8,7425.00000000000000000000
"1283_3",liriodendron_tulipifera_1283_3,Liriodendron tulipifera,5,1227.000000000000000000000
"3413_2",tsuga_canadensis_3413_2,Tsuga canadensis,7,11928.000000000000000000000
VIBI005_1,VIBI005_1st,Quercus alba,9,10375.00000000000000000000
"1385_1","1385_1st",Fraxinus sp.,6,12025.000000000000000000000
"1320_2",standing_dead_1320_2,Standing dead,3,1380.000000000000000000
"1041_2","1041_2nd",Quercus alba,11,16909.308298681700
"1159_3",sassafras_albidum_1159_3,Sassafras albidum,6,7215.000000000000000000000
"1116_3",cornus_foemina_subsp._racemosa_1116_3,Cornus foemina subsp. racemosa,2,240.5000000000000000000
"1174_3",standing_dead_1174_3,Standing dead,1,1.963000000000000000000000
"1105_1","1105_1st",Berberis thunbergii,0,5.889000000000000000000000
"1377_1","1377_1st",Prunus serotina,3,110.4000000000000000000000
